 臺北市?? 108 年 1 月? 各行政區戶籍人口數、戶數統計表 ,,,,,,,,
 區別 , 里數 ,, 鄰數 ,, 戶數 , 人口數 ,,
, 現有門牌 , 戶籍登記 , 現有門牌 , 戶籍登記 ,, 合計 , 男 , 女 
  總計 ,456,456,9587,9569,1056328,2666908,1272385,1394523
  松山區 ,33,33,765,763,81155,205633,96357,109276
  信義區 ,41,41,905,904,89553,223113,106330,116783
  大安區 ,53,53,1026,1022,121333,308686,143905,164781
  中山區 ,42,42,871,869,100485,229309,106562,122747
  中正區 ,31,31,583,583,65464,158903,75840,83063
  大同區 ,25,25,522,521,51853,127651,62124,65527
  萬華區 ,36,36,723,723,78768,189387,92825,96562
  文山區 ,43,43,1006,1005,106712,273686,131114,142572
  南港區 ,20,20,454,452,47391,121576,59392,62184
  內湖區 ,39,39,908,906,108732,287442,137196,150246
  士林區 ,51,51,996,995,107515,286339,137965,148374
  北投區 ,42,42,828,826,97367,255183,122775,132408
說明：里數、鄰數係根據戶籍登記資料里鄰門牌資料檔及戶籍登記資料分列（與行政區域編組之里數、鄰數無關）。,,,,,,,,
