,AREA,X1,X2,X3,X4,X5,X6,X7,X8,X9,Gross,Avg
0,辽宁,5458.2,13000,1376.2,2258.4,1315.9,529.0,2258.4,123.7,399.7,-1.174240959192203,-0.3641775828955762
1,山东,10550.0,11643,3502.5,3851.0,2288.7,1070.7,3181.9,211.1,610.2,2.0957754605627774,-0.6548186645186835
2,河北,6076.6,9047,1406.7,2092.6,1161.6,597.1,1968.3,45.9,302.3,-1.399899186082166,-0.8706292147749503
3,天津,2022.6,22068,822.8,960.0,703.7,361.9,941.4,115.7,171.8,-3.2651852507059584,0.6988489257690089
4,江苏,10636.3,14397,3536.3,3967.2,2320.0,1141.3,3215.8,384.7,643.7,2.3865565210819737,-0.337666054868781
5,上海,5408.8,40627,2196.2,2755.8,1970.2,779.3,2035.2,320.5,709.0,0.16390125916116008,2.802893585384867
6,浙江,7670.0,16570,2356.5,3065.0,2296.6,1180.6,2877.5,294.2,566.9,1.2090116882647053,0.04811556617938636
7,福建,4682.0,13510,1047.1,1859.0,964.5,397.9,1663.3,173.7,272.9,-2.0844997196241777,-0.3221727963136495
8,广东,11769.7,15030,4224.6,4793.6,3022.9,1275.5,5013.6,1843.7,1201.6,5.501759198713157,0.10513772007406678
9,广西,2455.4,5062,367.0,995.7,542.2,352.7,1025.5,15.1,186.7,-3.433179012179267,-1.105531484035689
