City,Atlanta,Chicago,Denver,Houston,LosAngeles,Miami,NewYork,SanFrancisco,Seattle,Wanshington
Atlanta,0, , , , , , , , , 
Chicago,587,0, , , , , , , , 
Denver,1212,920,0, , , , , , , 
Houston,701,940,879,0, , , , , , 
LosAngeles,1936,1745,831,1374,0, , , , , 
Miami,604,1188,1726,968,2339,0, , , , 
NewYork,748,713,1631,1420,2451,1092,0, , , 
SanFrancisco,2139,1858,949,1645,347,2594,2571,0, , 
Seattle,2182,1737,1021,1891,959,2734,2408,678,0, 
Wanshington,543,597,1494,1220,2300,923,205,2442,2329,0
