关键词,词频,权重
洗衣粉,58,1
白猫,33,0.9526
好评,40,0.905
实惠,32,0.8867
满意,35,0.8815
大一,29,0.8791
购买,37,0.8769
划算,21,0.8556
宝贝,24,0.8531
便宜,26,0.8518
包装,26,0.8485
超市,24,0.8459
牌子,20,0.8375
快递,20,0.8336
物流,21,0.8325
干净,20,0.8262
价格,23,0.8189
质量,20,0.8081
物美价廉,13,0.8042
老牌子,14,0.7877
洗衣,11,0.7775
正品,11,0.7766
发货,12,0.7763
回购,10,0.775
仙女,9,0.7616
品牌,11,0.7418
去污,7,0.7413
洗洁精,6,0.7357
泡沫,8,0.735
好不好,8,0.7312
评价,9,0.7311
袋子,7,0.7292
速度,9,0.7279
在用,8,0.7256
卖家,7,0.7249
购物,8,0.7229
好闻,5,0.7181
信赖,7,0.7132
家里,7,0.709
桃花,6,0.7062
完好,6,0.7055
够用,5,0.6988
五星,6,0.6963
大包,5,0.6899
香味,5,0.6855
待用,4,0.6783
超大,5,0.6764
店家,4,0.6738
衣服,5,0.6713
洗衣液,5,0.6707
份量,4,0.6705
客服,5,0.6684
产品,5,0.6651
冷水,4,0.6643
好使,5,0.6612
气味,4,0.6596
价廉物美,4,0.6515
朋友,4,0.6477
搞活,3,0.6461
谢谢,4,0.6458
纸箱,3,0.6446
拆开,3,0.6381
模板,3,0.6369
泡泡,3,0.6344
追加,3,0.6316
犹豫,3,0.6306
国产,3,0.6294
妈妈,3,0.6288
顾客,3,0.6245
商品,3,0.624
柠檬味,3,0.6228
严实,2,0.6197
花酒,2,0.6194
结块,2,0.6186
老板,3,0.617
棒棒,2,0.6143
受潮,2,0.6129
隐士,2,0.6106
省事,2,0.61
车马,2,0.6099
工作服,2,0.6089
做活,2,0.6083
生意兴隆,2,0.6083
运送,2,0.6053
家人,3,0.6048
满满的,2,0.6035
棒棒哒,2,0.6035
淘宝,2,0.6028
咋样,2,0.6023
下单,2,0.601
生气,2,0.6007
网购,2,0.6004
还好,2,0.5999
溶解,2,0.5993
光顾,2,0.5977
试用,2,0.5969
开心,2,0.5965
一会,2,0.5947
洗衣机,2,0.5925
清香,2,0.5917
包裹,2,0.5912
运输,2,0.5901
用到,2,0.5899
试试,2,0.5888
破损,2,0.5883
价钱,2,0.5882
网上,2,0.5877
细腻,2,0.5875
实用,2,0.5867
一如既往,2,0.5857
惊喜,2,0.5851
送到,2,0.585
长时间,2,0.5846
分量,2,0.5826
愉快,2,0.5818
信心,2,0.5817
送货,2,0.5808
失望,2,0.5716
忠实,2,0.5687
用品,2,0.5648
桃花坞,1,0.5634
七夕节,1,0.5632
酒钱,1,0.5628
碌碌,1,0.5613
味儿,1,0.5607
清新,2,0.5602
吐槽,1,0.5594
喋喋不休,1,0.5586
桃树,1,0.5582
疯癫,1,0.5581
酒醒,1,0.558
速溶,1,0.558
怨气,1,0.5579
老死,1,0.5579
戳穿,1,0.5578
放水,1,0.5573
大老远,1,0.5573
花枝,1,0.5571
酒醉,1,0.5564
期望值,1,0.5559
破口,1,0.5559
二话不说,1,0.5558
王者,1,0.5558
一不小心,1,0.5557
质和量,1,0.5557
废话,1,0.5556
鞠躬,1,0.555
极好,1,0.555
红红火火,1,0.5548
买来,1,0.5546
