No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College,PTS/G,AST,TRB,3P
33,Ryan Anderson,PF,6-10,240,"May 6, 1988",us,9,University of California,9.3,0.9,5.0,2.0
1,Trevor Ariza,SF,6-8,215,"June 30, 1985",us,13,"University of California, Los Angeles",11.7,1.6,4.4,2.5
28,Tarik Black,C,6-9,250,"November 22, 1991",us,3,"University of Memphis, University of Kansas",3.5,0.3,3.2,0.0
6,Bobby Brown,PG,6-2,175,"September 24, 1984",us,3,"California State University, Fullerton",2.5,0.6,0.4,0.6
26,Markel Brown,SG,6-3,190,"January 29, 1992",us,2,Oklahoma State University,1.3,0.5,1.3,0.3
98,Isaiah Canaan,SG,6-0,201,"May 21, 1991",us,4,Murray State University,0.0,0.0,1.0,0.0
15,Clint Capela,C,6-10,240,"May 18, 1994",ch,3,,13.9,0.9,10.8,0.0
10,Eric Gordon,SG,6-4,215,"December 25, 1988",us,9,Indiana University,18.0,2.2,2.5,3.2
14,Gerald Green,SG,6-7,205,"January 26, 1986",us,10,,12.1,0.6,3.2,2.7
13,James Harden,SG,6-5,220,"August 26, 1989",us,8,Arizona State University,30.4,8.8,5.4,3.7
42,Nene Hilario,C,6-11,250,"September 13, 1982",br,15,,6.5,0.9,3.4,0.0
2,R.J. Hunter,SG,6-5,185,"October 24, 1993",us,2,Georgia State University,3.8,0.6,1.0,0.6
5,Aaron Jackson,PG,6-4,185,"May 6, 1986",us,R,Duquesne University,8.0,1.0,3.0,1.0
2,Demetrius Jackson,PG,6-1,201,"September 7, 1994",us,1,University of Notre Dame,0.7,0.4,0.9,0.0
7,Joe Johnson,SF,6-7,240,"June 29, 1981",us,16,University of Arkansas,6.0,1.7,2.8,0.7
12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",cm,9,"University of California, Los Angeles",7.5,0.9,3.0,1.0
21,Chinanu Onuaku,C,6-10,245,"November 1, 1996",us,1,University of Louisville,4.0,1.0,4.0,0.0
3,Chris Paul,PG,6-0,175,"May 6, 1985",us,12,Wake Forest University,18.6,7.9,5.4,2.5
9,Zhou Qi,C,7-1,210,"January 16, 1996",cn,R,,1.2,0.1,1.2,0.1
55,Tim Quarterman,SG,6-6,195,"October 27, 1994",us,1,Louisiana State University,1.3,0.3,1.0,0.0
4,P.J. Tucker,PF,6-6,245,"May 5, 1985",us,6,University of Texas at Austin,6.1,0.9,5.6,1.4
0,Briante Weber,PG,6-2,165,"December 29, 1992",us,2,Virginia Commonwealth University,2.0,1.0,1.4,0.3
5,Troy Williams,SF,6-7,218,"December 30, 1994",us,1,Indiana University,1.3,0.3,1.0,0.0
32,Brandan Wright,PF,6-10,210,"October 5, 1987",us,9,University of North Carolina,4.0,0.0,2.0,0.0
